,name
0,Kimi no Na wa.
1,Fullmetal Alchemist: Brotherhood
2,Gintama°
3,Steins;Gate
4,Gintama&#039;
5,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou
6,Hunter x Hunter (2011)
7,Ginga Eiyuu Densetsu
8,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare
9,Gintama&#039;: Enchousen
10,Clannad: After Story
11,Koe no Katachi
12,Gintama
13,Code Geass: Hangyaku no Lelouch R2
14,Haikyuu!! Second Season
15,Sen to Chihiro no Kamikakushi
16,Shigatsu wa Kimi no Uso
17,Mushishi Zoku Shou 2nd Season
18,Ookami Kodomo no Ame to Yuki
19,Code Geass: Hangyaku no Lelouch
20,Hajime no Ippo
21,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen
22,Cowboy Bebop
23,One Punch Man
24,Mononoke Hime
25,Suzumiya Haruhi no Shoushitsu
26,Monogatari Series: Second Season
27,Mushishi Zoku Shou
28,Mushishi
29,Tengen Toppa Gurren Lagann
30,Great Teacher Onizuka
31,Natsume Yuujinchou Go
32,Hajime no Ippo: New Challenger
33,Mushishi Zoku Shou: Suzu no Shizuku
34,Natsume Yuujinchou Shi
35,Howl no Ugoku Shiro
36,Fate/Zero 2nd Season
37,Kizumonogatari II: Nekketsu-hen
38,Monster
39,Bakuman. 3rd Season
40,Death Note
41,Gintama°: Aizome Kaori-hen
42,Ansatsu Kyoushitsu (TV) 2nd Season
43,Haikyuu!!
44,Hajime no Ippo: Rising
45,Kara no Kyoukai 5: Mujun Rasen
46,Natsume Yuujinchou San
47,Ping Pong The Animation
48,Mushishi Special: Hihamukage
49,Boku dake ga Inai Machi
50,Yojouhan Shinwa Taikei
51,Aria The Origination
52,Kamisama Hajimemashita: Kako-hen
53,Rainbow: Nisha Rokubou no Shichinin
54,Re:Zero kara Hajimeru Isekai Seikatsu
55,Tengen Toppa Gurren Lagann Movie: Lagann-hen
56,Zoku Natsume Yuujinchou
57,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.
58,Kuroko no Basket 3rd Season
59,Steins;Gate Movie: Fuka Ryouiki no Déjà vu
60,Hotarubi no Mori e
61,Shokugeki no Souma
62,Yuri!!! on Ice
63,Gintama: Yorinuki Gintama-san on Theater 2D
64,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season
65,Gintama Movie: Shinyaku Benizakura-hen
66,Hellsing Ultimate
67,Kiseijuu: Sei no Kakuritsu
68,Shouwa Genroku Rakugo Shinjuu
69,Uchuu Kyoudai
70,Bakemono no Ko
71,Hotaru no Haka
72,Kuroko no Basket 2nd Season
73,Major S5
74,One Piece
75,Ghost in the Shell: Stand Alone Complex 2nd GIG
76,JoJo no Kimyou na Bouken: Diamond wa Kudakenai
77,Kara no Kyoukai 7: Satsujin Kousatsu (Kou)
78,Kingdom 2nd Season
79,Slam Dunk
80,Usagi Drop
81,Girls und Panzer der Film
82,Mob Psycho 100
83,Nana
84,Baccano!
85,Mushishi Zoku Shou: Odoro no Michi
86,Shingeki no Kyojin
87,Bakuman. 2nd Season
88,Cross Game
89,Doukyuusei (Movie)
90,Evangelion: 2.0 You Can (Not) Advance
91,Shinsekai yori
92,Uchuu Senkan Yamato 2199
93,Chihayafuru 2
94,Fate/Zero
95,JoJo no Kimyou na Bouken (TV)
96,Mahou Shoujo Madoka★Magica
97,Nichijou
98,Psycho-Pass
99,Barakamon
100,Diamond no Ace: Second Season
101,Magi: The Kingdom of Magic
102,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari
103,Major: World Series
104,Samurai Champloo
105,Shokugeki no Souma: Ni no Sara
106,Katanagatari
107,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari
108,Major S6
109,Mononoke
110,Shirobako
111,Ashita no Joe 2
112,Hunter x Hunter
113,Noragami Aragoto
114,Sakamichi no Apollon
115,Tonari no Totoro
116,Ghost in the Shell: Stand Alone Complex
117,Kaze no Tani no Nausicaä
118,No Game No Life
119,Romeo no Aoi Sora
120,Yuu☆Yuu☆Hakusho
121,Kino no Tabi: The Beautiful World
122,Kuroko no Basket
123,Nodame Cantabile
124,Ookami to Koushinryou II
125,Shingeki no Kyojin: Kuinaki Sentaku
126,Steins;Gate: Oukoubakko no Poriomania
127,Fate/stay night: Unlimited Blade Works 2nd Season
128,Kemono no Souja Erin
129,Kizumonogatari I: Tekketsu-hen
130,Neon Genesis Evangelion: The End of Evangelion
